2.709	0.885	15.493	1.653	0.706	14.735
2.699	0.901	15.487	1.650	0.696	14.701
2.691	0.921	15.513	1.656	0.695	14.686
2.686	0.930	15.535	1.655	0.705	14.678
2.687	0.932	15.544	1.651	0.704	14.713
2.683	0.953	15.603	1.648	0.697	14.676
2.678	0.947	15.596	1.660	0.698	14.653
2.674	0.944	15.577	1.669	0.694	14.663
2.675	0.945	15.623	1.663	0.694	14.636
2.672	0.940	15.610	1.662	0.691	14.687
2.678	0.944	15.646	1.664	0.686	14.664
2.680	0.925	15.563	1.666	0.700	14.665
2.682	0.924	15.545	1.671	0.697	14.690
2.681	0.927	15.544	1.677	0.683	14.704
2.681	0.925	15.556	1.683	0.675	14.716
2.683	0.927	15.568	1.689	0.668	14.769
2.686	0.928	15.589	1.689	0.664	14.728
2.689	0.927	15.574	1.691	0.667	14.763
2.695	0.919	15.577	1.687	0.664	14.719
2.703	0.919	15.608	1.679	0.665	14.689
2.707	0.904	15.591	1.679	0.670	14.685
2.716	0.891	15.612	1.676	0.668	14.673
2.740	0.881	15.682	1.675	0.674	14.670
2.762	0.869	15.660	1.672	0.696	14.722
2.777	0.855	15.611	1.683	0.678	14.731
2.796	0.844	15.649	1.685	0.665	14.738
2.807	0.835	15.600	1.685	0.664	14.735
2.839	0.828	15.653	1.688	0.665	14.751
2.862	0.808	15.653	1.698	0.671	14.761
2.887	0.805	15.642	1.706	0.667	14.763
2.892	0.815	15.550	1.707	0.670	14.768
2.870	0.807	15.444	1.704	0.669	14.753
2.837	0.798	15.427	1.706	0.680	14.793
2.827	0.813	15.545	1.705	0.681	14.764
2.812	0.799	15.435	1.708	0.689	14.797
2.795	0.799	15.438	1.700	0.692	14.740
2.812	0.807	15.597	1.681	0.727	14.717
2.842	0.789	15.542	1.689	0.738	14.710
2.878	0.781	15.521	1.688	0.741	14.699
2.891	0.810	15.441	1.689	0.752	14.786
2.873	0.761	15.337	1.702	0.761	14.813
2.878	0.769	15.399	1.719	0.768	14.861
2.868	0.763	15.363	1.731	0.773	14.811
2.867	0.751	15.364	1.745	0.766	14.792
2.865	0.809	15.371	1.755	0.775	14.780
2.854	0.828	15.446	1.761	0.772	14.757
2.860	0.843	15.552	1.768	0.762	14.739
2.861	0.864	15.580	1.765	0.761	14.715
2.857	0.877	15.571	1.754	0.771	14.733
2.856	0.878	15.588	1.750	0.771	14.753
2.844	0.899	15.512	1.748	0.773	14.772
2.837	0.848	15.451	1.748	0.769	14.767
2.824	0.893	15.426	1.755	0.765	14.810
2.814	0.883	15.413	1.762	0.766	14.790
2.811	0.928	15.453	1.763	0.768	14.782
2.812	0.935	15.448	1.768	0.767	14.748
2.805	0.938	15.419	1.769	0.770	14.780
2.800	0.951	15.431	1.764	0.767	14.758
2.800	0.954	15.485	1.763	0.773	14.766
2.794	0.954	15.462	1.756	0.779	14.768
2.795	0.959	15.478	1.747	0.784	14.761
2.781	0.958	15.450	1.732	0.782	14.779
2.770	0.954	15.461	1.728	0.802	14.810
2.765	0.955	15.446	1.710	0.802	14.811
2.765	0.954	15.451	1.672	0.803	14.639
2.768	0.956	15.465	1.653	0.829	14.777
2.771	0.970	15.429	1.652	0.832	14.791
2.769	0.968	15.414	1.652	0.828	14.794
2.769	0.969	15.440	1.648	0.824	14.798
2.773	0.970	15.454	1.649	0.830	14.776
2.773	0.967	15.443	1.647	0.829	14.803
2.770	0.959	15.452	1.648	0.825	14.793
2.770	0.962	15.465	1.650	0.824	14.806
2.765	0.965	15.454	1.649	0.826	14.800
2.762	0.965	15.445	1.645	0.820	14.773
