7.384	6.965	16.486	-2.698	5.677	13.498	5.133	
7.610	7.037	16.521	-2.717	5.551	13.762	5.167	
7.830	7.110	16.555	-2.721	5.420	14.032	5.200	
8.051	7.166	16.566	-2.728	5.278	14.351	5.233	
8.259	7.212	16.583	-2.765	5.063	14.726	5.267	
8.455	7.258	16.599	-2.832	4.778	15.116	5.300	
8.624	7.316	16.641	-2.915	4.426	15.521	5.333	
8.783	7.340	16.635	-3.033	4.114	16.079	5.367	
8.914	7.371	16.658	-3.198	3.770	16.622	5.400	
9.012	7.419	16.702	-3.419	3.418	17.129	5.433	
9.087	7.441	16.728	-3.695	3.099	17.605	5.467	
9.110	7.449	16.762	-4.034	2.797	17.946	5.500	
9.109	7.435	16.774	-4.362	2.463	18.276	5.533	
9.074	7.418	16.823	-4.689	2.146	18.630	5.567	
9.035	7.381	16.851	-5.202	2.000	18.549	5.600	
8.980	7.354	16.907	-5.670	1.636	18.155	5.633	
8.927	7.307	16.942	-6.096	1.062	17.437	5.667	
8.874	7.264	16.974	-6.416	0.894	17.390	5.700	
8.826	7.216	17.010	-6.693	0.855	17.398	5.733	
8.784	7.190	17.067	-6.905	0.906	17.299	5.767	
8.749	7.164	17.124	-7.039	1.063	17.116	5.800	
8.727	7.126	17.154	-7.110	1.308	16.865	5.833	
8.703	7.105	17.208	-7.123	1.570	16.453	5.867	
8.688	7.071	17.235	-7.075	1.875	16.010	5.900	
8.673	7.038	17.262	-6.981	2.221	15.613	5.933	
8.651	7.031	17.304	-6.851	2.557	15.266	5.967	
8.638	6.990	17.299	-6.651	2.867	15.022	6.000	
8.625	6.953	17.291	-6.428	3.163	14.792	6.033	
8.619	6.921	17.279	-6.204	3.464	14.558	6.067	
8.603	6.923	17.313	-5.779	3.539	14.652	6.100	
8.596	6.913	17.321	-5.384	3.856	15.041	6.133	
8.596	6.908	17.325	-5.029	4.420	15.761	6.167	
8.594	6.920	17.353	-4.765	4.594	15.758	6.200	
8.588	6.920	17.352	-4.521	4.703	15.648	6.233	
8.581	6.920	17.351	-4.296	4.830	15.561	6.267	
8.576	6.907	17.323	-4.101	4.981	15.451	6.300	
8.558	6.912	17.318	-3.901	5.105	15.326	6.333	
8.539	6.916	17.312	-3.716	5.214	15.211	6.367	
8.521	6.921	17.307	-3.527	5.257	15.036	6.400	
8.503	6.921	17.305	-3.334	5.277	14.842	6.433	
