3.017	0.475	14.777	1.474	0.485	14.440
3.007	0.474	14.728	1.499	0.476	14.487
3.007	0.455	14.777	1.519	0.459	14.582
3.007	0.455	14.777	1.565	0.407	14.534
3.007	0.455	14.777	1.591	0.377	14.582
3.007	0.456	14.826	1.596	0.368	14.630
2.996	0.456	14.826	1.591	0.367	14.582
2.985	0.480	14.926	1.591	0.377	14.582
2.965	0.479	14.876	1.611	0.377	14.582
2.964	0.491	14.926	1.611	0.377	14.582
2.954	0.499	14.876	1.631	0.375	14.487
2.975	0.511	14.926	1.661	0.375	14.487
2.975	0.511	14.926	1.682	0.375	14.487
2.964	0.513	14.976	1.717	0.374	14.440
2.964	0.524	14.976	1.748	0.346	14.534
2.953	0.524	14.976	1.773	0.344	14.487
2.943	0.524	14.976	1.793	0.344	14.487
2.932	0.515	15.027	1.793	0.324	14.487
2.921	0.506	15.078	1.803	0.324	14.487
2.900	0.494	15.027	1.813	0.314	14.487
2.900	0.506	15.078	1.834	0.294	14.487
2.891	0.524	14.976	1.844	0.263	14.487
2.879	0.536	15.027	1.854	0.243	14.487
2.880	0.524	14.976	1.854	0.223	14.487
2.880	0.524	14.976	1.844	0.223	14.487
2.881	0.511	14.926	1.824	0.233	14.487
2.881	0.501	14.926	1.822	0.231	14.393
2.871	0.479	14.876	1.838	0.232	14.440
2.881	0.480	14.926	1.848	0.232	14.440
2.891	0.480	14.926	1.842	0.242	14.393
2.881	0.470	14.926	1.832	0.242	14.393
2.871	0.468	14.876	1.832	0.242	14.393
2.870	0.449	14.926	1.832	0.242	14.393
2.850	0.437	14.876	1.846	0.231	14.346
2.850	0.427	14.876	1.852	0.221	14.393
2.850	0.416	14.876	1.862	0.221	14.393
2.840	0.395	14.876	1.852	0.231	14.393
2.841	0.384	14.826	1.842	0.242	14.393
2.850	0.374	14.876	1.832	0.242	14.393
2.850	0.354	14.876	1.822	0.262	14.393
2.840	0.333	14.876	1.802	0.272	14.393
2.830	0.322	14.876	1.761	0.272	14.393
2.820	0.311	14.826	1.701	0.272	14.393
2.810	0.311	14.826	1.626	0.273	14.440
2.798	0.312	14.876	1.530	0.282	14.393
2.798	0.322	14.876	1.465	0.271	14.346
2.797	0.324	14.926	1.450	0.260	14.300
2.788	0.322	14.876	1.455	0.261	14.346
2.788	0.322	14.876	1.480	0.260	14.300
2.798	0.322	14.876	1.500	0.260	14.300
2.798	0.322	14.876	1.515	0.271	14.346
